user_id,screen_name,location
1765522503223414785,TibaOT13,
1562705616577056768,abdikingtrtel,
1931177534764523520,jjjjjjxue,
1931357119124815872,rinkuthegoat,closet
1931382080371351552,ImJusAFanfr,
1930270284487241729,BarnesFay53424,
1921590957868306432,Lotex222,
3228273145,rizaahmadfauji,"Garut, Jawa Barat"
1294849284710567936,TebaNjotta,
1865475168648208384,c_mrphy,
1930342197997547520,LayJordxo,
1929311110093840384,lghxst_,
1931377742194565120,yaodrawsstuff,
1928923873673719809,bright_nna79201,
216183893,chrscp,Kanto
1774113793666064384,ETHERN3T,The Galaxy 🌌
1715410172753899520,NMreal461,Zambia
1931371220823650304,FarisN16096,
1815758028035248128,DYG1270041,
1349557972477874176,Wal144603134,
1852241136389361664,sidinte34415,
1931018622111035392,OKAY7318,
1232327185685307392,gooo__u,
1069996062381928450,WokenMyers02,Parts Unknown 
1739575163899805697,iqraz2808,
1063783620551282689,Yura47_,
1792037307819683840,Abdulsamad13317,Nigeria
1707795800292749312,RadeonSx,
1551731010706067456,impeace_s,"Bogotá, D.C., Colombia"
1725947439050297344,raulnickhs,
1931370191080083456,FrancescaP80446,
1781379388858118144,Pr1ncessla74,
1802537901260943360,daydreamerPIx_,Germany
1931368350845992961,mriyes2210,
1927736622973636608,bethouai,
1346391396027043840,tsewell68035989,
1931366658741829633,erunxmusk,"Benin-City, Nigeria"
1931205119515004928,johnpork343322,
1724850143051345920,EoMateusne90074,
1741205797051260928,Wassupboi289065,
1062295856647290881,koycsntsn,
1341222814314061824,brawlerj26,"Pennsylvania, USA"
962963360282284032,SumanKa68414623,"Dimapur, India"
1931365102630166528,quant99497,
1931342609168908288,ben_wei63676,
1931048982345859072,Spenc30,
1921270615681400832,real_arcanjo,"Sao Paulo, Brazil"
1931293035096330240,xrponeday2,
1630548180898050050,abdilahiadenali,Ethiopia dire dawa
1931361312925450240,cjvillaver49211,
1844398127781957648,2Agiota,
1931354987046522881,joshua31pro,
1828498022734376960,JustHam1029,
1826687155373998080,MNohat2193,
1866233555673595904,type1suitehacks,
1830273281548492800,Shaka_NasHoN,"Massachusetts, USA"
1899560060709453824,GautamXsn,
1558120094642933760,mmoloke_brandon,
1639937617708957698,li7781851024480,
1849580214663176192,AnaLuiz98023552,
1868202690485911552,Gazzablak94,
967595347504697345,tristan_kefla,
1652655504622067714,Gears_sol,Brazil
2293306621,levil_el,
1931345626731843584,Ongenongen0707,
1916946003229372416,EliasPrez697977,
1845722687047417873,TylerWi92945966,
1832115788385337344,RaUuf2573,
1815658061266325504,Emot3chan,In your wall
1208292471899213824,doo_ll1,
1931306939155202049,QafarAbdi12806,
1569945650497724416,OWadokunStephe1,
1902110648412286976,Mirivakat,United States
1897338102898995200,PawanBasum24691,
1516829224409178113,OmarDrif6,
1521548469671895040,Anonimo47867471,
1827726424834260992,ChizziBag7,
1717579812594978816,CryptoGuruPT,"Kashmir, Pakistan "
1734165157012451328,YvnggGreatness,"Nairobi, Kenya"
1585572426535927810,Edzis01K,
1569376616182153216,Vinicius00928,"Anchieta, Brasil"
1267038578,FaridDarmawan5,"Jember, Jawa Timur"
1890673384620457984,ConquerMbuyisa,
1814867737082273793,5fEKArNQJs26322,
1775716134664208384,floyd_271,
1931349194184474624,RiffD10734,
1931345260585627648,Jacobkarnes13,
1028608152051363840,benzo4breakfast,
1396115175665590274,Miya75703524,
1931345533958053888,yeaperson321,
1931344860503748608,Wazif4lg,
1607376716300689409,diles_ug,"Kampala, Uganda"
1918305801841852417,Evan84273986311,
1931334312843984896,FegroDon,
1931338006339706880,LuckyCarla2K6,
1798264714335567874,lyly1883016,
1930993298170327040,sae1585924,
1803896442739658752,cloudypistachi0,
1922297377962262528,Ahmed610139,
1931337148667469824,hardnawaf01,
1776237742227415040,HongyeZ8120,
1889471946355777537,jvlimaxz_,
1930824511567339520,ssiah30,
1931336260120973313,ColdBloode68704,
1175173666755268608,gabitszim,Belém do Pará
1931199832947068928,drake1457166641,
1787221848595238912,nie_famous68877,
1919993728036450304,qazimansor89,
1922900906917474305,jun_wen91843,
1357663499283877889,DafzVnh,
1856783802116526080,S3NAZKL,
1931124688882991104,AlexusXXx8,MY OF ➡️
1931333842553733121,buuren99683,
1916067091712749569,HumphryKri75468,
1799231015086370816,WShaocong_NP,
1733302735561469952,0jegg60186,
1931325014042943488,yi_wen94484,
1876641338235506689,ordiperson7,
1931330688881438720,Julie_rosexox,
893158702995316736,RamDhamu1,
1512644443181965313,KiwiPalms69,
1579295691008266240,minaxity,
1693011271405182976,ExavierJoh43533,
1931330523642871808,skyylvz,
1261779182935322625,ridwy7270,
1754079223256637440,Siam893,
1469634681276706820,Mamoun_black,Missing
1923866944236584960,yaakoub216,
1931288418668998656,SReventsss,
1929152527922249728,SundWilhelmsen,Rælingen 
1601118335608889346,Zarrr901,
1828174655188017152,Yiikk66,
1930519024376639488,GloryOlaoy155,
1919166034583457792,HaramM223928,
1567929721098326018,PlgamingP,
1931318908356788225,rolliecapes,
193786749,finchystyle,neverland
1915523242942410752,dr_chantolias,"Θεσσαλονίκη, Ελλάς"
1752535769523081216,Naishetery,"Bonaire, Sint Eustatius and Sa"
