Tweet ID,Text,Created At,Views,Likes,Retweets,Replies,Quotes
1810764153801658423,🦁✍🏽 https://t.co/TRcTUbffcw,Tue Jul 09 19:53:11 +0000 2024,5293329,146639,4449,1157,180
1810051955710144983,POLAND IS THE BEST,Sun Jul 07 20:43:10 +0000 2024,12504427,181157,8367,2687,656
1809344346149228696,goodbye ronaldo💔 https://t.co/uVVzugZOcz,Fri Jul 05 21:51:22 +0000 2024,28091740,616171,19513,6022,1668
1808596937089613915,NEVER COMING TO FUCKING NORWAY AGAIN,Wed Jul 03 20:21:26 +0000 2024,56341736,386739,11227,7289,2011
1807895240151380130,i never seen ronaldo miss a penalty  wtf,Mon Jul 01 21:53:08 +0000 2024,6889513,123775,3821,1276,300
1803784744741826821,🇦🇱 https://t.co/84RlAYVHmP,Thu Jun 20 13:39:30 +0000 2024,10451380,201555,5207,1628,988
1797697950661104077,i thought mbappe was going arsenal 🤦🏽‍♂️,Mon Jun 03 18:32:45 +0000 2024,7819400,122168,4562,2872,1002
1797023428400046538,hala madrid https://t.co/xP2nerScGf,Sat Jun 01 21:52:27 +0000 2024,7486435,236576,12711,1318,1121
1794475195459064167,united babyyyyyyyy right wing next year https://t.co/vzRAb9Lt0S,Sat May 25 21:06:40 +0000 2024,9824702,259579,11845,1255,694
1794400144223330596,my good luck charm W united❤️❤️❤️❤️ https://t.co/iBOeGgRBk1,Sat May 25 16:08:27 +0000 2024,20357556,383381,13455,2536,1535
1789052544972374026,mbappe is not going to madrid trust me,Fri May 10 21:59:00 +0000 2024,7560821,78948,3173,2664,1448
1780730248608309359,"the man who knocked out Man city🤣🤣

HALA MADRID https://t.co/TbEDxMgQMG",Wed Apr 17 22:49:10 +0000 2024,7525317,354271,19037,1863,478
1777155733152223737,💀 https://t.co/Nh0SJruaOn,Mon Apr 08 02:05:19 +0000 2024,21131143,456390,20226,3750,1347
1777145108816617511,WWE is real ong💔 https://t.co/gH7cvyZqi2,Mon Apr 08 01:23:06 +0000 2024,14885910,298620,15982,4238,2182
1774107027242881294,bought my first car🇵🇹 https://t.co/ZSnyx2R4Qo,Sat Mar 30 16:10:51 +0000 2024,21620951,310151,19340,5615,3069
1761107559648227802,i think it’s time for me to retire from football,Fri Feb 23 19:15:36 +0000 2024,12599470,153117,5903,6031,1147
1752453434794520947,i love you south africa revenge ronaldo for me please 🙏,Tue Jan 30 22:07:12 +0000 2024,3941471,79308,6506,2595,796
1749198300647940348,happy birthday to me https://t.co/dH5Sgf7puV,Sun Jan 21 22:32:28 +0000 2024,15301148,214451,8450,3887,835
1748493968633962911,just adopted my first dog his name is nigga❤️ https://t.co/IlN87oAfk7,Fri Jan 19 23:53:42 +0000 2024,29805151,395546,19118,7590,3812
1745128335741497441,i met ronaldo dad que isso❤️🇧🇷 https://t.co/rJB8JF4V7m,Wed Jan 10 16:59:52 +0000 2024,11035223,178200,7729,1693,763
1732136595195609499,December 15 Be there😈 https://t.co/ng4ogwiDw3,Tue Dec 05 20:35:20 +0000 2023,6672100,85493,3461,2682,367
1729617354668015646,.@KSI bro it's that time I've been waiting to kick your ass for a long time when is the sparring match stop ignoring me and stop being scared drop a date now bitch https://t.co/olB0nAN0Wq,Tue Nov 28 21:44:46 +0000 2023,9190674,38054,1646,2974,111
1728822128655704204,ronaldo would be proud @agarnacho7,Sun Nov 26 17:04:50 +0000 2023,6222021,130823,8752,1530,141
1719124557812961398,it was fun while it lasted https://t.co/RqtUpL936U,Mon Oct 30 22:50:09 +0000 2023,8045671,160219,6473,1601,295
1719107184544387182,💔 https://t.co/CL3ZhlRQWQ,Mon Oct 30 21:41:06 +0000 2023,22257908,387422,13406,4936,1025
1713332828698775896,no way y’all robbed my nigga ksi kmt,Sat Oct 14 23:15:53 +0000 2023,661,165540,7023,2123,202
1709312312144810046,"That's it. That seals the deal. I am no longer a United fan. I've been a United member since 1987 and a season ticket holder since 1999. I'm not going to renew my season ticket. Ten Hag and Onana are outlawed as of today. I will become a fan of Al Nassr now, where they actually",Tue Oct 03 20:59:47 +0000 2023,40014673,207308,16449,6255,2319
1700545958453383442,i let you guys down bye💔,Sat Sep 09 16:25:25 +0000 2023,24181202,224347,5819,6627,1164
1700508788602614011,😈 https://t.co/ueisOz7ypG,Sat Sep 09 13:57:43 +0000 2023,5651937,113883,4093,1783,232
1700460985453006901,it’s that time https://t.co/mEQXFEQ5yD,Sat Sep 09 10:47:46 +0000 2023,7332849,140170,4520,1559,273
1685865534792065025,please pray for me i beg of y’all i need it https://t.co/GqeITfMHjc,Mon Jul 31 04:10:40 +0000 2023,64058444,724074,25841,29512,4361
1683851940067954693,Borra🇧🇷 https://t.co/QqhluSCpgw,Tue Jul 25 14:49:21 +0000 2023,14644084,343485,16246,2247,942
1670187631966056448,i met him ronaldo🇵🇹 https://t.co/4k5Ch22zZ9,Sat Jun 17 21:52:16 +0000 2023,150013094,1810492,189489,23818,19311
