Video ID,Video Title,Comment ID,Author,Published Time,Likes,Comment Text
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,Ugz32t7DO3xMzgYle6Z4AaABAg,@J4N4Y4,3 months ago,31,2:17  bro stuck up the middle finger lmao
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,UgzOUhW3CDt4EMn3QoZ4AaABAg,@TAG_sing,1 year ago,306,한국 와주셔서 감사합니다 좋은일만 있길
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,Ugx79kYLt5hkMWKUBP54AaABAg,@mang_O_gnam,11 months ago,421,"Korea and Japan are completely different countries, and if he had even studied history, he would know that Koreans(We) are very sensitive to being treated as Japanese because we had a painful past when we were Japanese colonies"
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,UgyCP6rfZ1tNlhiv0RB4AaABAg,@amzman1856,1 year ago,1.2K,한국의 따뜻한 환대에 감사드립니다
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,Ugx2s7vINfa56rmpc2N4AaABAg,@Lunakunbaby,2 months ago (edited),12,4:39 he’s so real for that 💀
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,UgxdDNwyre2RlmGpkzF4AaABAg,@ag2usv285ifh2,1 year ago,555,스피드 사랑해 한국또와~~~~🇰🇷
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,UgzYA4B2Telyg5vhTSt4AaABAg,@k-tangerine,1 year ago (edited),344,"한국팬 더 많아졌어!!!!
한글 자막버전도 만들어줘♡♡♡ 감동받아서 한국 팬들 난리날꺼야♡
자막 없이도 그냥 재밌지만ㅋㅋㅋ"
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,Ugx-M4a7b_HpBXBIEE14AaABAg,@Paul_Edits5,1 year ago,23,6:44 Ishow speed got some pretty good dance moves
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,UgySnH2YEx4cxSMqREF4AaABAg,@ImCCRimuru,1 month ago,4,It always surprises me when i see speed all calm and peaceful.
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,Ugwd4BDlyWtN3b-N-th4AaABAg,@Zzzzzzz1-r3s,1 year ago (edited),789,"한국에서 말하는 것 중에 '니가' 라고 들리는 것은 상대를 칭하는 말 또는 자신을 칭하는 말(내가, 너가, 네가)입니다. 그러니 인종차별 발언이 아닙니다."
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,Ugzm4K1ZCgbk19cLOb54AaABAg,@Nah_ID_conquer,1 year ago,1.9K,1 like = 1 day i study
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,UgyUIG0QsVGDhb0ECuF4AaABAg,@Mrgumball123,1 year ago,261,"South-Korea ❌
North-Korea ❌
Speed-Korea ✅"
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,UgyaSR--M_OelBceW194AaABAg,@captainmarvelfan1257,1 month ago,3,Thank you for being so respectful to my home country!!
qNImue9D28Q,hi me in 1 year,UgzkpK7mjCah-COAjtJ4AaABAg,@c0rbo,1 year ago,2K,Rip the OG room🥺
qNImue9D28Q,hi me in 1 year,Ugy8iQMKWDd6WUi-Mu94AaABAg,@Alazrak3,1 year ago,8.7K,The iconic room 😢
qNImue9D28Q,hi me in 1 year,UgxZGj74PkpjmDDVQ6J4AaABAg,@PrimzOFFICIAL,2 years ago,2.4K,"nah bro, you should've scheduled it to go live without us knowing until the day of, how am i supposed to wait 1 year😭"
qNImue9D28Q,hi me in 1 year,Ugy2lwPkyO5nKWufFhx4AaABAg,@nicarahmartin6473,9 months ago,12,I just watched a video about you and all the help you do ... people like you are the reason my handicap 6 year old daughter wakes up and instead of being upset about what is going on with her she want to make homeless kit!   thank you!! The funny videos and the Good samaritan videos really help!❤
qNImue9D28Q,hi me in 1 year,UgwWOV0QG92R_iyrSJp4AaABAg,@HeisenbergFam,2 years ago (edited),247,"You already know Speed is gonna bark when he sees himself in 1 year, he's gonna accomplish a lot"
